sport_licence,niveau_etude,revenu_estime_mois,risque_personnel,loyer_mensuel,montant_pret,anciennete_jours,sit_fam_célibataire,sit_fam_divorcé,sit_fam_marié,sit_fam_veuf,region_Auvergne-Rhône-Alpes,region_Bretagne,region_Corse,region_Hauts-de-France,region_Normandie,region_Occitanie,region_Provence-Alpes-Côte d’Azur,region_Île-de-France,age_tranche
0,0.7081788102778006,-1.44186584896209,-1.3412745070708652,0.1705798321348693,0.3215413605834031,-1.2819894138581855,1,0,0,0,0,0,0,0,0,1,0,0,3
0,-0.6988921419928146,2.3637259779515323,1.0028034401814396,1.0,0.8105995719913223,-0.4834745424930102,1,0,0,0,0,0,0,0,0,0,0,1,1
0,1.411714286413108,1.10357900336049,-1.2723310380340327,0.5190110867944494,0.4439471045063096,-0.4609078178674726,1,0,0,0,1,0,0,0,0,0,0,0,3
1,-0.6988921419928146,0.669075469795375,-0.617368082184124,1.0,0.3938827864920255,-0.8306549213474342,0,1,0,0,1,0,0,0,0,0,0,0,3
1,-0.6988921419928146,1.191173528091182,0.5546708914420284,0.3736870205141771,0.2524571679150071,-0.2578072962376345,1,0,0,0,0,0,1,0,0,0,0,0,0
0,-0.6988921419928146,0.0498428890259296,0.2788970152946982,0.5190110867944494,0.0,-0.337658783374152,0,0,0,1,0,0,0,0,0,1,0,0,3
0,0.7081788102778006,-1.5658858196203962,-0.1347637989262965,0.1053192563911402,0.0,-0.2803740208631721,1,0,0,0,0,1,0,0,0,0,0,0,0
1,-1.402427618128122,0.0949410601744046,-0.9620854273682866,1.0,0.0,-0.4626437197617447,0,0,1,0,0,0,0,0,0,0,0,1,2
1,1.411714286413108,-0.8217659956705585,1.209633847291937,0.5190110867944494,0.1014713319560273,-1.3653127047832474,0,1,0,0,0,0,1,0,0,0,0,0,3
1,0.7081788102778006,-1.7514821393468127,0.5546708914420284,1.0,0.0,0.4625919898852954,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0.7081788102778006,0.2840064699891653,-0.4450094095920428,0.0878891801543974,0.5662050010417056,1.597871828739262,0,0,1,0,0,1,0,0,0,0,0,0,0
0,1.411714286413108,0.7982990755861976,-1.2378593035156165,0.623256198744619,0.4463510981176911,0.0060497916917277,0,0,1,0,0,0,0,0,0,0,1,0,0
1,0.0046433341424929,1.7245461291741075,-0.5828963476657077,0.117997162165412,0.2023333295216698,1.0128728903695576,1,0,0,0,0,1,0,0,0,0,0,0,1
1,1.411714286413108,-1.4175822183436804,-0.0658203298894641,0.5190110867944494,0.3016362528857836,1.1881989816910417,0,0,1,0,0,0,0,1,0,0,0,0,2
1,0.7081788102778006,0.5155682333861428,0.0031231391473683,1.0,0.4966662873642464,0.2160939208986543,1,0,0,0,0,0,0,0,0,0,0,1,2
1,0.7081788102778006,-0.8833423447386687,-1.3757462415892816,1.0,0.4014736965312248,0.7629030175943722,0,0,1,0,0,0,0,0,0,1,0,0,0
